,Region,Month,Year,Start_Date,End_Date,Start_Date_Unix,End_Date_Unix,Full Location,LatLong
576,Karimnagar,NOV,2016,01-11-16,30-11-16,1477938600,1480444200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
577,Karimnagar,DEC,2016,01-12-16,31-12-16,1480530600,1483122600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
578,Karimnagar,JAN,2016,01-01-16,31-01-16,1451586600,1454178600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
579,Karimnagar,FEB,2016,01-02-16,29-02-16,1454265000,1456684200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
580,Karimnagar,MAR,2016,01-03-16,31-03-16,1456770600,1459362600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
581,Karimnagar,APR,2016,01-04-16,30-04-16,1459449000,1461954600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
582,Karimnagar,MAY,2016,01-05-16,31-05-16,1462041000,1464633000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
583,Karimnagar,JUN,2016,01-06-16,30-06-16,1464719400,1467225000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
584,Karimnagar,JUL,2016,01-07-16,31-07-16,1467311400,1469903400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
585,Karimnagar,AUG,2016,01-08-16,31-08-16,1469989800,1472581800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
586,Karimnagar,SEP,2016,01-09-16,30-09-16,1472668200,1475173800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
587,Karimnagar,OCT,2016,01-10-16,31-10-16,1475260200,1477852200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
588,Karimnagar,NOV,2016,01-11-16,30-11-16,1477938600,1480444200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
589,Karimnagar,DEC,2016,01-12-16,31-12-16,1480530600,1483122600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
590,Khammam,JAN,2016,01-01-16,31-01-16,1451586600,1454178600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
591,Khammam,FEB,2016,01-02-16,29-02-16,1454265000,1456684200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
592,Khammam,MAR,2016,01-03-16,31-03-16,1456770600,1459362600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
593,Khammam,APR,2016,01-04-16,30-04-16,1459449000,1461954600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
594,Khammam,MAY,2016,01-05-16,31-05-16,1462041000,1464633000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
595,Khammam,JUN,2016,01-06-16,30-06-16,1464719400,1467225000,"Khammam, Telangana, India",lat=17.5&lon=80.333333
596,Khammam,JUL,2016,01-07-16,31-07-16,1467311400,1469903400,"Khammam, Telangana, India",lat=17.5&lon=80.333333
597,Khammam,AUG,2016,01-08-16,31-08-16,1469989800,1472581800,"Khammam, Telangana, India",lat=17.5&lon=80.333333
598,Khammam,SEP,2016,01-09-16,30-09-16,1472668200,1475173800,"Khammam, Telangana, India",lat=17.5&lon=80.333333
599,Khammam,OCT,2016,01-10-16,31-10-16,1475260200,1477852200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
600,Khammam,NOV,2016,01-11-16,30-11-16,1477938600,1480444200,"Khammam, Telangana, India",lat=17.5&lon=80.333333
601,Khammam,DEC,2016,01-12-16,31-12-16,1480530600,1483122600,"Khammam, Telangana, India",lat=17.5&lon=80.333333
